gender,birth year,gamer,League of Legends,Rocket League,Valorant,Fortnite,Minecraft,Genshin Impact,The Sims,game hours,romantic,go out
Woman,2006,yes,no,no,no,no,yes,no,yes,less than 1 hour,Single,3
Woman,2000,yes,yes,no,yes,no,no,no,no,20-50 hours,In a relationship,2
Man,2003,yes,no,no,no,no,no,no,no,20-50 hours,Single,2
Man,1998,yes,yes,yes,no,yes,no,yes,no,5-20 hours,In a relationship,3
Man,2003,yes,yes,yes,yes,yes,yes,no,no,20-50 hours,Single,1
Man,2004,yes,no,yes,no,yes,yes,no,no,20-50 hours,Single,3
Man,2001,yes,yes,no,yes,no,no,no,no,5-20 hours,In a relationship,3
Man,2005,yes,yes,yes,yes,yes,yes,yes,yes,more than 50 hours,Single,1
Man,2004,yes,no,no,no,yes,yes,no,no,20-50 hours,Single,1
Man,2002,yes,yes,yes,yes,yes,yes,yes,no,20-50 hours,Single,3
Man,1997,yes,yes,no,yes,no,no,no,no,5-20 hours,Single,3
Man,2003,yes,yes,no,no,no,no,no,no,5-20 hours,Single,1
Man,2003,yes,yes,no,no,no,yes,no,no,20-50 hours,Single,3
Man,2002,yes,yes,no,no,no,no,no,no,20-50 hours,Single,1
Man,2005,yes,yes,yes,yes,yes,yes,yes,yes,more than 50 hours,Single,1
Man,1999,yes,yes,no,no,no,no,no,no,20-50 hours,In a relationship,2
Man,2001,yes,no,yes,no,yes,yes,no,no,more than 50 hours,In a relationship,2
Other,2002,yes,yes,no,no,no,no,no,no,5-20 hours,In a relationship,2
Woman,2001,yes,yes,no,no,no,no,no,no,more than 50 hours,In a relationship,2
Man,2001,yes,yes,yes,yes,no,yes,no,no,5-20 hours,Single,2
Woman,2005,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2005,yes,yes,yes,no,yes,no,yes,no,less than 1 hour,Single,4
Woman,2005,yes,no,no,no,no,no,no,yes,1-5 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2005,yes,no,no,no,yes,yes,no,yes,1-5 hours,Single,3
Man,2005,yes,no,yes,no,yes,no,no,no,5-20 hours,Single,3
Man,1997,yes,yes,yes,no,no,no,no,no,5-20 hours,Single,3
Man,2005,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,2
Man,2005,yes,no,yes,yes,no,no,yes,no,5-20 hours,Single,2
Man,1989,yes,yes,no,no,no,no,no,no,20-50 hours,Single,3
Woman,2003,yes,yes,no,yes,no,yes,no,no,more than 50 hours,In a relationship,1
Woman,2003,no,no,no,no,no,no,no,no,1-5 hours,Single,2
Man,2007,yes,yes,no,yes,no,yes,yes,no,5-20 hours,In a relationship,1
Man,2002,yes,yes,no,yes,yes,yes,no,no,20-50 hours,Single,1
Other,2004,yes,no,no,no,no,no,yes,yes,5-20 hours,Single,2
Woman,2004,no,no,no,no,no,no,no,no,less than 1 hour,In a relationship,2
Woman,2001,yes,no,no,no,no,yes,no,yes,5-20 hours,Single,2
Woman,2005,yes,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2000,yes,yes,no,no,no,yes,yes,yes,20-50 hours,In a relationship,2
Woman,1998,yes,no,no,no,no,no,no,yes,1-5 hours,Single,1
Woman,1996,yes,no,no,no,no,no,no,yes,1-5 hours,Single,2
Man,2005,yes,no,no,no,no,no,no,no,5-20 hours,Single,3
Woman,2001,yes,yes,no,no,no,yes,yes,yes,20-50 hours,In a relationship,3
Woman,2005,yes,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,1995,yes,no,no,no,no,no,no,yes,5-20 hours,In a relationship,3
Man,1993,yes,no,no,no,no,no,yes,yes,5-20 hours,In a relationship,3
Man,2007,yes,yes,yes,yes,yes,yes,yes,no,20-50 hours,Single,2
Man,2003,yes,yes,yes,no,no,yes,no,no,20-50 hours,Single,2
Woman,1992,yes,no,yes,no,no,no,no,yes,1-5 hours,In a relationship,2
Woman,1996,yes,no,no,no,no,no,yes,yes,20-50 hours,In a relationship,3
Man,1998,yes,yes,yes,yes,no,yes,no,yes,5-20 hours,Single,2
Woman,1992,yes,no,no,no,no,no,no,yes,5-20 hours,In a relationship,2
Woman,1967,yes,no,no,no,no,no,no,yes,5-20 hours,In a relationship,2
Woman,1998,yes,no,no,no,no,no,no,yes,5-20 hours,Single,2
Woman,1986,yes,no,no,no,no,no,no,yes,more than 50 hours,In a relationship,2
Woman,1984,yes,no,no,no,no,no,no,yes,5-20 hours,In a relationship,2
Man,1975,yes,no,no,no,no,no,no,yes,5-20 hours,Single,2
Man,1992,yes,yes,yes,no,yes,yes,yes,yes,20-50 hours,In a relationship,2
Man,1985,yes,yes,yes,yes,yes,yes,yes,yes,5-20 hours,Single,2
Man,1981,yes,yes,yes,yes,yes,yes,yes,yes,20-50 hours,In a relationship,4
Woman,2002,yes,no,no,no,yes,no,no,yes,5-20 hours,In a relationship,2
Woman,1994,yes,no,no,no,yes,no,no,no,1-5 hours,In a relationship,2
Woman,1984,yes,no,no,no,yes,yes,no,no,20-50 hours,Single,2
Man,1979,yes,no,no,no,no,no,no,no,20-50 hours,Single,1
Man,1990,yes,no,no,no,no,no,no,no,more than 50 hours,Single,1
Woman,2005,yes,no,no,no,yes,yes,yes,yes,1-5 hours,Single,4
Woman,2006,yes,no,no,no,no,yes,no,yes,5-20 hours,Single,3
Man,2006,yes,no,no,no,no,no,yes,yes,5-20 hours,Single,2
Woman,1989,yes,no,yes,no,yes,no,no,no,less than 1 hour,In a relationship,3
Woman,2001,no,no,no,no,no,no,no,no,less than 1 hour,In a relationship,4
Man,2007,yes,no,yes,yes,yes,no,no,no,1-5 hours,In a relationship,4
Man,1998,yes,no,no,no,no,yes,yes,yes,more than 50 hours,Single,1
Man,2006,yes,no,no,yes,no,no,no,no,1-5 hours,Single,4
Man,2005,yes,no,no,no,no,yes,no,no,5-20 hours,Single,1
Woman,2007,yes,no,no,no,no,yes,no,yes,1-5 hours,Single,4
Man,2005,yes,no,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2004,yes,no,no,no,yes,no,no,no,20-50 hours,In a relationship,4
Woman,2007,yes,no,no,no,no,yes,no,yes,1-5 hours,Single,4
Man,2005,yes,no,yes,no,yes,yes,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,no,no,no,no,no,no,20-50 hours,Single,2
Woman,2006,yes,no,no,no,yes,yes,no,yes,less than 1 hour,Single,2
Man,2006,yes,no,no,yes,no,no,no,no,5-20 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Man,2006,yes,no,no,no,no,yes,no,no,1-5 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Woman,2005,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,2
Man,2003,yes,no,no,no,no,no,no,no,1-5 hours,Single,2
Man,2006,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,1
Man,2005,yes,yes,yes,yes,yes,yes,yes,no,1-5 hours,In a relationship,2
Woman,2005,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,yes,no,no,no,no,no,less than 1 hour,In a relationship,1
Man,2002,yes,no,yes,no,no,no,yes,no,5-20 hours,Single,2
Man,2000,yes,yes,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2003,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,3
Man,2005,yes,no,yes,no,yes,yes,no,yes,less than 1 hour,Single,3
Man,2005,yes,no,no,no,yes,yes,no,no,5-20 hours,In a relationship,2
Woman,2004,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Man,2003,yes,no,no,yes,no,yes,no,no,5-20 hours,Single,1
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,2003,yes,no,yes,no,yes,yes,no,yes,5-20 hours,In a relationship,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2005,yes,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Man,2006,yes,no,no,yes,no,no,no,no,1-5 hours,Single,4
Man,2005,yes,no,no,no,no,yes,no,no,5-20 hours,Single,1
Woman,2007,yes,no,no,no,no,yes,no,yes,1-5 hours,Single,4
Man,2005,yes,no,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2004,yes,no,no,no,yes,no,no,no,20-50 hours,In a relationship,4
Woman,2007,yes,no,no,no,no,yes,no,yes,1-5 hours,Single,4
Man,2005,yes,no,yes,no,yes,yes,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,no,no,no,no,no,no,20-50 hours,Single,2
Woman,2006,yes,no,no,no,yes,yes,no,yes,less than 1 hour,Single,2
Man,2006,yes,no,no,yes,no,no,no,no,5-20 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Man,2006,yes,no,no,no,no,yes,no,no,1-5 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Woman,2005,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,2
Man,2003,yes,no,no,no,no,no,no,no,1-5 hours,Single,2
Man,2006,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,1
Man,2005,yes,yes,yes,yes,yes,yes,yes,no,1-5 hours,In a relationship,2
Woman,2005,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,yes,no,no,no,no,no,less than 1 hour,In a relationship,1
Man,2002,yes,no,yes,no,no,no,yes,no,5-20 hours,Single,2
Man,2000,yes,yes,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2003,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,3
Man,2005,yes,no,yes,no,yes,yes,no,yes,less than 1 hour,Single,3
Man,2005,yes,no,no,no,yes,yes,no,no,5-20 hours,In a relationship,2
Woman,2004,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,2003,yes,no,yes,no,yes,yes,no,yes,5-20 hours,In a relationship,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
